posted,likes,reposts,replies,quotes,text,uri
2026-08-02,0,0,0,0,"Sagamok, the Nairn Road, and radioactive tailings. Three things that should not be a footnote. I loo",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3ms4f73mx7l2b
2026-08-02,0,0,0,0,"A director is not just a name on paper. It is a legal role with real duties: oversight, fiduciary re",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3ms2pvrq4bp25
2026-07-31,0,0,0,0,"Who is Sagamok preparing to lead? A community's future depends on whether it is developing new leade",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrx3cukhxa2c
2026-07-31,0,0,0,0,"A board appointment, but no record of how it was made. That is the gap in Andrea Hajt-Jacobs's board",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrx246r2ja2e
2026-07-31,0,0,1,0,"Four council meetings, no posted minutes. That is what the record shows for Sagamok. When minutes ar",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrvyzueqyi2z
2026-07-30,0,0,0,0,"Three names that keep showing up together in the record: South Market, Serpent River, and GR Truss. ",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mruyx3hi5h2e
2026-07-30,3,0,0,0,"Behind Caddy, request->isSecure() returned false and your XSRF-TOKEN cookie had no Secure flag. Http",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrupqdskrc2c
2026-07-30,1,0,0,0,"OCL: how three separate companies became one. I traced the consolidation through the records so you ",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrtpavnc2t2e
2026-07-30,0,0,0,0,"A public role map for Sagamok Chief Angus Toulouse: the positions and roles he holds, drawn from pub",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrtmmk3cms27
2026-07-30,0,0,0,0,"Sagamok council pay: one pay number covering nine different company roles. When compensation is repo",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrtjqvksiq2n
2026-07-30,0,0,0,0,"Who controls Legend Mining? And what do the public records leave out? I looked into the ownership an",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrtiaa477l2n
2026-07-30,0,0,0,0,"Sagamok C&C say the new trespass by-law is about fighting gangs and drugs. On my recording, the lawy",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrtgtkcwnf2u
2026-07-30,0,0,0,0,"Ontario committed to a Youth Wellness Hub in Sagamok for 2024. It is 2026 and it still says coming s",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrtewo7r7b2n
2026-07-30,0,0,0,0,"Sagamok is being asked to accept a trespass by-law that hands Chief & Council sweeping powers. The C",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrtbnbmajk2k
2026-07-29,2,0,1,0,"Before: import a migration entity, get double BeforeSave/AfterSave events. EntityRepository::save() ",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrs7bfpvca2e
2026-07-28,4,0,1,0,"Where vibe coding hands the baton to spec-driven. The Anokii relevance gate, topic-confidence gate, ",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrposk3iay2s
2026-07-27,5,0,0,0,"Before you build the hard thing, write what you don't know about it. The OIATC repo's waaseyaa-upstr",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrn6dlqyge2e
2026-07-27,0,0,0,0,"Waasmoowin: eight Nations, two Hydro One transmission lines, an option to buy up to 50% of the compl",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrn2k3xnss2d
2026-07-26,0,0,0,0,"A $100 share purchase, $900,000 in Council approvals, and a filing linking GR Truss equipment to the",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrkhd4tlps2b
2026-07-25,0,0,0,0,"Sagamok has announced another five-hour Elders Forum. The notice gives date, time and location. The ",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrimmspifk2u
2026-07-24,0,0,0,0,"About 70 people attended the July 23 Sagamok member information session, many of them Elders. The fu",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrg72vcmsn2b
2026-07-23,4,0,0,0,"Don't delete failed attempts. Label them and keep them. The OIATC repo has a literal docs/archive/20",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mrd4hv6vbe2b
2026-07-22,4,0,1,0,"Vibe-coded today, irreproducible tomorrow. Pin the world. The OIATC deploy contract is bin/waaseyaa ",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mralyxdvf327
2026-07-22,0,0,0,0,"Sagamok's audited company-loan balance reached $96,972,955 by March 31, 2025. The audit is clean, bu",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mr7bpaz6my2s
2026-07-21,0,0,0,0,"The public record behind GR Truss and Sagamok's $7 million Sault Ste. Marie land deal: land records,",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mr6tohuk5y27
2026-07-21,5,0,1,0,"If your AI-built repo doesn't have a runbook, future-you can't run it. The OIATC repo's CLAUDE.md op",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mr63k3n73j2s
2026-07-21,0,0,0,0,"Laura Owl joins me to review the public records on Angus Toulouse's roles at Sagamok: Senior Adminis",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mr4omjy2rf2t
2026-07-20,0,0,0,0,"GR Truss and Sagamok's $7 million Sault land deal. The names appear in land records, Council minutes",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mr45qn2bqs2m
2026-07-20,0,0,0,0,"Working on two branches at once without stashing, committing half-done work, or cloning twice: that ",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mr3l37fvqg2c
2026-07-19,0,0,0,0,"An electrician, a doctor, and a carpenter won Anthropic's Opus 4.7 hackathon. Not the engineers. Whe",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mqz2m6uovz2b
2026-07-18,5,0,0,0,"The interesting craft isn't vibe coding the first prototype. It's the six moves you make next. Wrote",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mqwk5bcka32e
2026-07-17,5,0,2,0,"AI keeps speccing your projects on pre-AI timelines. You shipped 5 WPs yesterday and it just told yo",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mqtzpqf4ey27
2026-07-04,6,0,0,0,"Giiken is a community knowledge management platform on Waaseyaa: ingestion pipeline, wiki schema, se",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mptxhwu3fp2x
2026-07-04,3,0,0,0,"In an AI-assisted codebase, drift is the default. Four Waaseyaa governance protocols to keep archite",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mptk4fozhx22
2026-07-04,7,0,0,0,"Giiken's frontend is Vue 3, Vite, Tailwind, and Inertia: the same stack across the Waaseyaa ecosyste",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mpt4lfsd532t
2026-07-03,6,0,0,0,"4 Waaseyaa framework fixes that close the gap between cloning a repo and having it running in a brow",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mprgwfpvat2i
2026-07-03,5,0,2,0,"AI agents shouldn't edit Waaseyaa apps via raw file writes. Bimaaji gives them a structured DSL, AST",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mpqzllwctj2t
2026-07-03,3,0,0,0,"6 Symfony ^7.3 floor constraints across the Waaseyaa monorepo, none justified by actual API usage. A",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mpqm6inogq2t
2026-07-02,6,0,0,0,"Replaced instanceof dispatch with a strategy pattern in the Waaseyaa API layer. Adding a new request",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mpowh3m2pi2f
2026-07-02,4,0,0,0,"Waaseyaa's serve command now auto-creates the SQLite database in dev mode. Clone, serve, done. githu",at://did:plc:vfxl7apgvvar4k3rzom264n3/app.bsky.feed.post/3mpoj354u4b2n
